TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LA MILAGROSA,BITROIL S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,LA AVENIDA GN,COMBUSTIBLES UNIGAS S.A.S,ACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
COMERCIALIZADOR DE EQUIPOS,MIKO BORIC,QUINTESSENCE,INACTIVO,AMAZONAS,EL ENCANTO,91263,-1.748059988,-73.2071151733
ESTACION DE SERVICIO DE GNCV,EDS ESSO CASTILLA,GRUPO EDS AUTOGAS S.A.S.,ACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LOS MARACOS,ESTACIÓN DE SERVICIO LOS MARACOS LTDA,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
ESTACION DE SERVICIO DE GNCV,EDS LA 70,SIGUR S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,LAS BRISAS,LAS BRISAS S.A.S.,INACTIVO,SUCRE,COROZAL,70215,9.3187494278,-75.2930450439
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO SAN JUDAS,CARLOS A. QUIROZ GARCIA E.U.,INACTIVO,BOLIVAR,CARTAGENA DE INDIAS,13001,10.3851261139,-75.4962692261
TALLER DE CONVERSION,FUEL GAS DUITAMA,FUEL GAS SERVICE SAS,INACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
TALLER DE CONVERSION,GAS INYECCIÓN LTDA,GAS INYECCION LTDA,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
TALLER DE CONVERSION,GAS INYECCIÓN LTDA,GAS INYECCION LTDA,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,E.D.S. CAMPO VALDES,DISTRIBUIDORA LUBRICANTES MAX - TER LIMITADA,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,GAZEL PASEO BOLIVAR,MASSER S.A.S.,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
TALLER DE CONVERSION,ECOGAS GNV,GARCIA FUENTES CARLOS ANDRES,ACTIVO,SANTANDER,BUCARAMANGA,68001,7.1164698601,-73.13256073
ESTACION DE SERVICIO DE GNCV,EDS RECARGAX YUMBO,TOTAL GAS S.A,INACTIVO,VALLE DEL CAUCA,YUMBO,76892,3.5400969982,-76.4998931885
